City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zakamensk,50.3741,103.2863,244.91,99,59,0.49,RU,1702248881
1,imbituba,-28.24,-48.6703,292.97,96,100,4.87,BR,1702248881
2,iqaluit,63.7506,-68.5145,268.0,79,100,5.14,CA,1702248882
3,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,95,100,6.71,RU,1702248883
4,adamstown,-25.066,-130.1015,294.23,58,0,4.33,PN,1702248823
5,maceio,-9.6658,-35.7353,298.84,83,0,3.09,BR,1702248884
6,camana,-16.6228,-72.7111,293.98,77,58,2.85,PE,1702248885
7,vilyuchinsk,52.9306,158.4028,275.3,98,100,1.71,RU,1702248850
8,port-aux-francais,-49.35,70.2167,276.76,78,62,10.28,TF,1702248806
9,mazagao,-0.115,-51.2894,304.18,77,60,2.85,BR,1702248888
10,bredasdorp,-34.5322,20.0403,288.96,80,0,2.23,ZA,1702248889
11,arish,31.1316,33.7984,291.67,47,20,1.09,EG,1702248889
12,kirensk,57.7853,108.1119,239.8,99,97,1.34,RU,1702248890
13,alofi,-19.0595,-169.9187,298.09,94,100,6.17,NU,1702248891
14,port macquarie,-31.4333,152.9167,301.42,59,1,5.69,AU,1702248892
15,broken hill,-31.95,141.4333,305.0,26,97,6.86,AU,1702248735
16,lebu,-37.6167,-73.65,286.62,88,100,9.36,CL,1702248893
17,sisimiut,66.9395,-53.6735,269.53,89,100,5.72,GL,1702248864
18,sungailiat,-1.85,106.1333,299.16,85,88,2.26,ID,1702248894
19,bikenibeu village,1.3673,173.1241,304.13,79,40,3.09,KI,1702248895
20,waitangi,-43.9535,-176.5597,284.64,56,3,2.12,NZ,1702248896
21,puerto ayora,-0.7393,-90.3518,301.13,80,28,3.87,EC,1702248896
22,isafjordur,66.0755,-23.124,270.2,87,100,3.26,IS,1702248897
23,yellowknife,62.456,-114.3525,260.6,99,100,7.72,CA,1702248838
24,motueka,-41.1333,173.0167,291.95,44,0,3.2,NZ,1702248898
25,rewa,24.5333,81.3,288.35,49,0,0.74,IN,1702248899
26,praia da vitoria,38.7333,-27.0667,290.79,77,0,5.34,PT,1702248900
27,edinburgh of the seven seas,-37.0676,-12.3116,286.82,69,96,6.5,SH,1702248900
28,naze,28.3667,129.4833,294.66,83,52,6.86,JP,1702248901
29,iskateley,67.6803,53.1512,250.38,91,99,4.92,RU,1702248902
30,taltal,-25.4,-70.4833,291.39,74,18,1.65,CL,1702248902
31,cidreira,-30.1811,-50.2056,293.11,94,97,7.62,BR,1702248904
32,jamestown,42.097,-79.2353,277.92,79,100,3.09,US,1702248606
33,galich,58.3797,42.3475,256.99,93,100,5.41,RU,1702248906
34,fisterra,42.9049,-9.2629,291.34,86,100,10.64,ES,1702248906
35,nurmo,62.8287,22.9099,263.83,95,100,3.13,FI,1702248907
36,vadso,70.0744,29.7487,261.24,85,100,11.32,NO,1702248907
37,tolanaro,-25.0319,46.9987,299.19,89,20,9.26,MG,1702248908
38,puerto santa,-8.9906,-78.6456,293.64,82,14,5.32,PE,1702248909
39,ankazoabo,-22.2833,44.5167,297.79,68,30,1.88,MG,1702248909
40,gereshk,31.8209,64.5701,281.91,36,0,0.42,AF,1702248617
41,sen monorom,12.45,107.2,291.38,98,35,0.83,KH,1702248911
42,tazovsky,67.4667,78.7,247.06,96,100,4.89,RU,1702248911
43,soio,-6.1349,12.3689,300.22,77,99,3.87,AO,1702248912
44,burlington,39.8835,-74.6413,290.83,96,100,7.72,US,1702248804
45,novyy urgal,51.0736,132.5642,242.94,96,11,0.81,RU,1702248913
46,margaret river,-33.95,115.0667,289.03,49,0,5.46,AU,1702248914
47,blackmans bay,-43.0167,147.3167,291.89,52,69,0.45,AU,1702248915
48,brookings,44.3114,-96.7984,272.15,82,0,0.0,US,1702248915
49,kapa'a,22.0752,-159.319,300.43,76,20,4.12,US,1702248916
50,zhaotong,27.3167,103.7167,281.4,81,99,1.17,CN,1702248917
51,afaahiti,-17.75,-149.2833,302.08,83,89,11.06,PF,1702248917
52,albany,42.6001,-73.9662,283.8,91,100,2.24,US,1702248763
53,papatowai,-46.5619,169.4708,288.85,44,31,4.3,NZ,1702248918
54,thompson,55.7435,-97.8558,257.24,92,100,1.03,CA,1702248920
55,ustaritz,43.3965,-1.456,290.49,67,0,2.06,FR,1702248920
56,bouca,6.5105,18.2733,296.11,38,95,0.8,CF,1702248921
57,puerto lleras,3.0223,-73.4044,296.68,96,85,0.95,CO,1702248922
58,grytviken,-54.2811,-36.5092,278.79,91,100,6.8,GS,1702248922
59,puerto natales,-51.7236,-72.4875,285.4,54,40,6.69,CL,1702248923
60,sabang,5.8933,95.3214,299.92,80,99,0.57,ID,1702248908
61,viransehir,37.2353,39.7631,283.35,79,97,2.76,TR,1702248924
62,nagqu,31.5,92.0,259.62,48,23,1.59,CN,1702248925
63,san antonio de pale,-1.4014,5.6325,300.56,79,99,5.28,GQ,1702248926
64,doka,13.5167,35.7667,298.18,25,48,3.57,SD,1702248926
65,utrik,11.2278,169.8474,300.47,77,63,9.53,MH,1702248927
66,ilulissat,69.2167,-51.1,270.16,80,100,6.69,GL,1702248927
67,ushuaia,-54.8,-68.3,281.96,49,0,9.77,AR,1702248678
68,bethel,41.3712,-73.414,287.54,90,100,2.06,US,1702248929
69,enewetak,11.3474,162.3373,300.85,76,86,8.0,MH,1702248929
70,tiksi,71.6872,128.8694,248.32,100,100,2.18,RU,1702248930
71,hamilton,39.1834,-84.5333,275.85,80,100,5.81,US,1702248092
72,dudinka,69.4058,86.1778,246.27,97,100,5.36,RU,1702248931
73,east london,-33.0153,27.9116,289.88,78,92,2.38,ZA,1702248932
74,hawaiian paradise park,19.5933,-154.9731,298.88,94,100,2.57,US,1702248827
